QuizTitle,QuestionText,EditorialDifficulty,Source
Bohemian Rhapsody: The Movie (Part 1),Which instrument does Brian May play in Queen?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which instrument does Roger Taylor play in Queen?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which instrument does John Deacon play in Queen?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),What is Mary Austin's relationship to Freddie for part of the film?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which actor plays record executive Ray Foster?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),Which record executive refuses to release 'Bohemian Rhapsody' as a single in the film?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which song does the record company complain is too long for radio?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),What does the band sell to help pay for studio recording time early in the film?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which animals does Freddie keep as beloved pets?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),What is Freddie's family surname?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Who becomes Freddie's partner near the end of the film?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Who becomes Queen's manager after John Reid is dismissed?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Who works as Freddie's personal manager and later betrays him?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which song begins Queen's performance in the film's Live Aid sequence?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which song closes Queen's performance in the theatrical Live Aid sequence?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),In which year was Bohemian Rhapsody released in cinemas?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),What US rating did the film receive?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),What runtime is listed by 20th Century Studios?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),Who is the film's credited director?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),Who wrote the film's screenplay?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),The film takes its title from which Queen song?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),Which years broadly frame the film's main story?,Medium,https://goldenglobes.com/film/bohemian-rhapsody/
Bohemian Rhapsody: The Movie (Part 1),At which fashion store does Freddie meet Mary Austin in the film?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Who is shown organising Live Aid?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which radio DJ plays 'Bohemian Rhapsody' after Freddie leaves him a copy?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),At which residential studio does the band record the album containing 'Bohemian Rhapsody'?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which album is Queen making during the film's Rockfield Studios sequence?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which character is a fictional EMI executive created for the film?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Who is Queen's first major manager in the film?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),What nickname does Freddie give lawyer Jim Beach?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),What important information does Paul Prenter keep from Freddie?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),How does Mary respond when Freddie says he thinks he is bisexual?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),In which city does Freddie live while working on his solo career?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),How much does Freddie say his CBS solo deal is worth?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),What condition does Queen set before agreeing to reunite with Freddie?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which illness does Freddie tell the band he has before Live Aid in the film?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which three-part motto does Freddie's father repeat?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),What does Jim Hutton tell Freddie to do before looking him up?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Which song does Brian May devise around audience participation and a stomp-stomp-clap beat?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Which song grows from a bass riff played by John Deacon during a band argument?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Which band member sings the highest 'Galileo' parts during the recording montage?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),What unusual musical section does Freddie insist on adding to 'Bohemian Rhapsody'?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Which song does Queen mime on Top of the Pops in the film?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Where does Mary live after Freddie buys his large London home?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),What does Freddie use to signal Mary from his window?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),What job is Jim Hutton doing when he first meets Freddie at a party?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),What is Freddie's sister's name?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),What is Freddie's father's name?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),What is Freddie's mother's name?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Who travels to Munich and urges Freddie to return to Queen?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Where does Freddie take Jim Hutton on the morning of Live Aid?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),When does Freddie reveal his diagnosis to the other members of Queen?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Which Freddie Mercury solo song is heard during the Munich montage?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Which music video shows the band dressed in drag in the film?,Medium,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 2),Who plays Queen manager John Reid?,Hard,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 2),Who plays Jim 'Miami' Beach?,Hard,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 2),Who plays Paul Prenter?,Hard,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 2),Who plays Jim Hutton?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),"Who plays Freddie's mother, Jer Bulsara?",Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),"Who plays Freddie's father, Bomi Bulsara?",Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),"Who plays Freddie's sister, Kashmira Bulsara?",Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),Who portrays Bob Geldof?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),Who portrays radio DJ Kenny Everett?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),Who plays producer Roy Thomas Baker?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),Who plays Smile singer Tim Staffell?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),Which producer received the film's Best Picture Oscar nomination?,Hard,https://www.oscars.org/oscars/ceremonies/2019
Bohemian Rhapsody: The Movie (Part 2),Which Queen manager is also credited as a producer of the film?,Hard,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 2),Who was the film's director of photography?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),Who edited Bohemian Rhapsody?,Hard,https://www.oscars.org/oscars/ceremonies/2019
Bohemian Rhapsody: The Movie (Part 2),Who was the film's production designer?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),Who designed the film's costumes?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),Where was the replica Live Aid stage built?,Hard,https://bovingdonairfieldstudios.com/backlots/main-runway/
Bohemian Rhapsody: The Movie (Part 2),Approximately how high was the raised platform built for the Live Aid set?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),Which major sequence was filmed at the start of production?,Hard,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 2),On what date was the original soundtrack released?,Hard,https://www.hollywoodrecords.com/press/queenbohemianrhapsodysoundtrack/
Bohemian Rhapsody: The Movie (Part 2),Which piece opens the official soundtrack album?,Hard,https://www.hollywoodrecords.com/press/queenbohemianrhapsodysoundtrack/
Bohemian Rhapsody: The Movie (Part 2),Which Smile recording appears on the official soundtrack?,Hard,https://www.hollywoodrecords.com/press/queenbohemianrhapsodysoundtrack/
Bohemian Rhapsody: The Movie (Part 2),How many Academy Award nominations did the film receive?,Hard,https://www.oscars.org/oscars/ceremonies/2019
Bohemian Rhapsody: The Movie (Part 2),How many Academy Awards did the film win?,Hard,https://www.oscars.org/oscars/ceremonies/2019
Bohemian Rhapsody: The Movie (Part 2),Which of its five Oscar-nominated categories did Bohemian Rhapsody not win?,Hard,https://www.oscars.org/oscars/ceremonies/2019
Bohemian Rhapsody: The Movie (Part 2),Who won the Oscar for Actor in a Leading Role for the film?,Hard,https://www.oscars.org/oscars/ceremonies/2019
Bohemian Rhapsody: The Movie (Part 2),Who won the Film Editing Oscar for Bohemian Rhapsody?,Hard,https://www.oscars.org/oscars/ceremonies/2019
Bohemian Rhapsody: The Movie (Part 2),Who won the Sound Editing Oscar for the film?,Hard,https://www.oscars.org/oscars/ceremonies/2019
Bohemian Rhapsody: The Movie (Part 2),Which trio won the film's Sound Mixing Oscar?,Hard,https://www.oscars.org/oscars/ceremonies/2019
Bohemian Rhapsody: The Movie (Part 2),Which two Golden Globes did the film win?,Hard,https://goldenglobes.com/film/bohemian-rhapsody/
Bohemian Rhapsody: The Movie (Part 2),Which two BAFTA awards did the film win?,Hard,https://www.bafta.org/media-centre/press-releases/winners-announced-ee-british-academy-film-awards-in-2019/
Bohemian Rhapsody: The Movie (Part 2),Where was the film's world premiere held?,Hard,https://www.universal-music.co.jp/queen/news/2018-10-24-report/
